Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Alejandro Balde,Barcelona,3,ESP,LB,20,90,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,3,1,44,46,"95,7",4,33,0,3,2,31/08/2024
Iñigo Martínez,Barcelona,5,ESP,CB,33,90,0,0,0,0,1,0,0,0,113,1,1,0,0.1,0.1,0,2,0,95,106,"89,6",5,74,2,0,0,31/08/2024
Pau Cubarsí,Barcelona,2,ESP,CB,17,60,0,1,0,0,1,0,0,0,80,1,0,0,0,0,0.4,5,3,68,72,"94,4",9,43,1,0,0,31/08/2024
Sergi Dominguez,Barcelona,36,ESP,CB,19,30,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,33,35,"94,3",2,27,0,0,0,31/08/2024
Jules Koundé,Barcelona,23,FRA,RB,25,90,1,0,0,0,1,1,0,0,66,3,0,1,0.1,0.1,0,0,0,51,58,"87,9",5,33,0,0,0,31/08/2024
Marc-André ter Stegen,Barcelona,1,GER,GK,32,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,30,31,"96,8",0,23,0,0,0,31/08/2024
Gorka Guruzeta,Athletic Club,12,ESP,FW,27,63,0,0,0,0,1,0,0,0,24,1,0,0,0,0,0,0,0,15,20,"75,0",0,16,0,0,0,31/08/2024
Álvaro djaló,Athletic Club,11,ESP,FW,25,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,7,"71,4",1,6,0,0,0,31/08/2024
Nico Williams,Athletic Club,10,ESP,LW,22,90,0,0,0,0,0,0,1,0,42,2,0,0,0,0,0,1,0,22,29,"75,9",0,27,1,8,1,31/08/2024
Iñaki Williams,Athletic Club,9,GHA,RW,30,70,0,0,0,0,0,0,0,0,42,0,0,3,0,0,0,0,0,16,30,"53,3",3,26,4,9,5,31/08/2024
Álex Berenguer,Athletic Club,7,ESP,RW,29,20,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,12,19,"63,2",0,15,4,1,0,31/08/2024
Oihan Sancet,Athletic Club,8,ESP,AM,24,80,0,0,0,0,1,1,1,0,56,0,0,0,0,0,0,2,0,40,47,"85,1",5,36,0,1,0,31/08/2024
Unai Gómez,Athletic Club,20,ESP,AM,21,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,6,"83,3",0,4,1,3,2,31/08/2024
Beñat Prados,Athletic Club,24,ESP,DM,23,63,0,0,0,0,0,0,0,0,56,0,1,2,0,0,0,0,0,44,50,"88,0",2,37,0,0,0,31/08/2024
Mikel Vesga,Athletic Club,6,ESP,DM,31,27,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,19,24,"79,2",6,16,2,0,0,31/08/2024
Ander Herrera,Athletic Club,21,ESP,DM,35,63,0,0,0,0,2,0,0,0,62,1,0,0,0.1,0.1,0,1,0,53,58,"91,4",3,36,2,0,0,31/08/2024
Mikel Jauregizar,Athletic Club,23,ESP,DM,20,27,0,0,0,0,3,0,0,0,26,1,1,0,0.1,0.1,0,2,0,18,18,"100,0",3,18,0,0,0,31/08/2024
Yuri Berchiche,Athletic Club,17,ESP,LB,34,90,0,0,0,0,1,0,0,0,76,1,1,2,0,0,0,1,0,59,65,"90,8",10,49,2,0,0,31/08/2024
Yeray Álvarez,Athletic Club,5,ESP,CB,29,90,0,0,0,0,0,0,1,0,84,1,1,1,0,0,0,0,0,70,78,"89,7",12,55,0,0,0,31/08/2024
Daniel Vivian,Athletic Club,3,ESP,CB,25,90,0,0,0,0,0,0,0,0,93,1,1,1,0,0,0,1,0,76,86,"88,4",11,73,1,0,0,31/08/2024
Iñigo Lekue,Athletic Club,15,ESP,RB,31,90,0,0,0,0,0,0,0,0,77,2,1,1,0,0,0,2,0,55,68,"80,9",6,41,1,1,0,31/08/2024
Julen Agirrezabala,Athletic Club,13,ESP,GK,23,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,22,26,"84,6",0,15,0,0,0,31/08/2024
Julián Álvarez,Atlético Madrid,19,ARG,FW,24,69,0,0,0,0,1,0,0,0,21,1,0,2,0.1,0.1,0,2,0,10,17,"58,8",1,7,1,0,0,31/08/2024
Rodrigo Riquelme,Atlético Madrid,17,ESP,WB,24,21,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,6,9,"66,7",3,9,1,1,0,31/08/2024
Conor Gallagher,Atlético Madrid,4,ENG,AM,24,69,0,0,0,0,1,0,0,0,33,0,1,0,0.1,0.1,0,1,0,17,23,"73,9",2,16,1,5,3,31/08/2024
Rodrigo De Paul,Atlético Madrid,5,ARG,"AM,CM",30,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,5,"60,0",0,4,2,1,0,31/08/2024
Antoine Griezmann,Atlético Madrid,7,FRA,AM,33,83,0,0,0,0,1,0,0,0,55,1,1,1,0,0,0.2,3,0,33,46,"71,7",5,25,0,0,0,31/08/2024
Giuliano Simeone,Atlético Madrid,22,ARG,AM,21,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,"50,0",1,3,2,3,2,31/08/2024
Koke,Atlético Madrid,6,ESP,CM,32,87,0,0,0,0,0,0,1,0,62,3,1,1,0,0,0,1,0,47,53,"88,7",3,32,0,3,1,31/08/2024
Ángel Correa,Atlético Madrid,10,ARG,AM,29,3,1,0,0,0,1,1,0,0,6,0,1,0,0.9,0.9,0,1,1,1,1,"100,0",0,3,1,2,1,31/08/2024
Pablo Barrios,Atlético Madrid,8,ESP,CM,21,90,0,0,0,0,0,0,0,0,72,2,3,0,0,0,0,0,0,52,62,"83,9",6,33,0,1,1,31/08/2024
Samuel Lino,Atlético Madrid,12,BRA,WB,24,69,0,0,0,0,2,0,0,0,48,3,1,0,0.1,0.1,0.1,2,0,37,41,"90,2",5,34,1,0,0,31/08/2024
Alexander Sørloth,Atlético Madrid,9,NOR,FW,28,21,0,1,0,0,2,1,0,0,12,0,0,1,0.5,0.5,0.9,2,1,4,9,"44,4",1,5,1,1,1,31/08/2024
Marcos Llorente,Atlético Madrid,14,ESP,WB,29,90,0,0,0,0,0,0,0,0,71,4,1,0,0,0,0,2,0,45,57,"78,9",6,41,4,1,1,31/08/2024
Reinildo Mandava,Atlético Madrid,23,MOZ,CB,30,90,0,0,0,0,0,0,0,0,75,2,1,0,0,0,0.1,1,0,53,65,"81,5",5,42,2,2,1,31/08/2024
José María Giménez,Atlético Madrid,2,URU,CB,29,90,0,0,0,0,1,0,0,0,85,1,2,1,0.1,0.1,0,0,0,70,71,"98,6",2,51,0,0,0,31/08/2024
Robin Le Normand,Atlético Madrid,24,ESP,CB,27,90,0,0,0,0,0,0,0,0,72,1,0,1,0,0,0,0,0,60,67,"89,6",6,50,1,0,0,31/08/2024
Juan Musso,Atlético Madrid,1,ARG,GK,30,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,23,29,"79,3",0,13,0,0,0,31/08/2024
Hugo Duro,Valencia,9,ESP,FW,24,90,1,0,0,0,5,2,1,0,21,0,1,0,0.2,0.2,0.1,1,0,10,12,"83,3",0,8,1,0,0,31/08/2024
Domingos André Ribeiro Almeida,Valencia,10,POR,"FW,CM",24,81,0,0,0,0,0,0,0,0,53,2,0,2,0,0,0,5,0,38,43,"88,4",9,28,2,2,1,31/08/2024
Javier Guerra,Valencia,8,ESP,CM,21,9,0,0,0,0,3,0,0,0,17,0,0,0,0.1,0.1,0,1,0,14,14,"100,0",5,11,1,0,0,31/08/2024
Luis Rioja,Valencia,22,ESP,LM,30,81,0,0,0,0,2,0,0,0,46,1,1,1,0.4,0.4,0,3,1,24,38,"63,2",3,22,3,4,1,31/08/2024
Sergi Canós,Valencia,7,ESP,LM,27,9,0,0,0,0,4,2,0,0,17,0,0,0,0.1,0.1,0,7,0,9,13,"69,2",1,7,3,0,0,31/08/2024
José Luis García Vayá,Valencia,18,ESP,CM,26,90,0,0,0,0,2,1,1,0,95,1,1,0,0,0,0.1,7,0,71,90,"78,9",13,45,3,0,0,31/08/2024
Hugo Guillamón,Valencia,6,ESP,CM,24,68,0,0,0,0,0,0,1,0,40,1,1,1,0,0,0,1,1,28,36,"77,8",1,16,0,0,0,31/08/2024
Rafa Mir,Valencia,11,ESP,"FW,CM",27,22,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0,,0,0,0,0,0,31/08/2024
Diego López,Valencia,16,ESP,RM,22,90,0,0,0,0,1,0,0,0,41,1,0,1,0,0,0.1,2,0,22,36,"61,1",3,21,4,3,2,31/08/2024
Jesus Vazquez,Valencia,21,ESP,LB,21,69,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0.2,2,0,38,46,"82,6",1,22,1,5,1,31/08/2024
Dimitri Foulquier,Valencia,20,FRA,"RB,LB",31,21,0,0,0,0,1,0,0,0,19,1,0,0,0,0,0,2,0,10,17,"58,8",0,12,1,1,1,31/08/2024
Cristhian Mosquera,Valencia,3,ESP,CB,20,90,0,0,0,0,0,0,0,0,63,0,2,3,0,0,0,1,0,53,54,"98,1",6,34,2,2,2,31/08/2024
César Tárrega,Valencia,15,ESP,CB,22,90,0,0,0,0,1,0,0,0,59,1,2,0,0.1,0.1,0,0,0,46,49,"93,9",3,33,0,1,1,31/08/2024
Thierry Correia,Valencia,12,POR,"RB,LB",25,90,0,0,0,0,2,0,0,0,83,5,0,1,0,0,0.1,4,0,60,70,"85,7",6,38,3,1,0,31/08/2024
Giorgi Mamardashvili,Valencia,25,GEO,GK,23,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,27,31,"87,1",0,16,0,0,0,31/08/2024
Ayoze Pérez,Villarreal,22,ESP,"FW,LM",31,76,1,0,0,0,3,1,0,0,33,2,1,1,0.1,0.1,0,1,0,14,21,"66,7",4,19,1,4,2,31/08/2024
Juan Bernat,Villarreal,12,ESP,LM,31,14,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,3,"66,7",0,2,0,0,0,31/08/2024
Thierno Barry,Villarreal,15,FRA,FW,21,90,0,0,0,0,1,1,0,0,23,0,0,1,0.2,0.2,0.1,2,0,4,10,"40,0",1,9,2,3,0,31/08/2024
Santi Comesaña,Villarreal,14,ESP,"CM,LM",27,90,0,1,0,0,1,0,0,0,36,0,0,1,0,0,0,2,1,25,28,"89,3",5,12,1,0,0,31/08/2024
Pape Gueye,Villarreal,18,SEN,CM,25,67,0,0,0,0,2,0,2,1,39,0,0,0,0,0,0,1,1,27,30,"90,0",6,14,2,1,0,31/08/2024
Daniel Parejo,Villarreal,10,ESP,CM,35,45,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,17,21,"81,0",3,13,0,0,0,31/08/2024
Ilias Akhomach,Villarreal,11,MAR,RM,20,45,0,0,0,0,0,0,0,0,25,2,0,1,0,0,0.2,2,0,6,9,"66,7",0,11,2,4,2,31/08/2024
Yeremi Pino,Villarreal,21,ESP,"RM,LM",21,68,0,0,0,0,1,0,1,0,35,3,0,1,0.1,0.1,0.1,3,0,14,22,"63,6",2,21,1,1,1,31/08/2024
Ramón Terrats,Villarreal,20,ESP,CM,23,22,0,0,0,0,0,0,0,0,16,1,0,2,0,0,0,0,0,3,8,"37,5",0,4,0,1,0,31/08/2024
Sergi Cardona,Villarreal,23,ESP,LB,25,90,0,0,0,0,1,0,0,0,51,2,0,3,0,0,0,1,0,32,36,"88,9",3,16,0,2,1,31/08/2024
Logan Costa,Villarreal,2,CPV,CB,23,90,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,44,50,"88,0",4,31,0,0,0,31/08/2024
Raúl Albiol,Villarreal,3,ESP,CB,38,90,0,0,0,0,0,0,1,0,76,0,0,3,0,0,0,0,0,54,63,"85,7",2,33,0,0,0,31/08/2024
Kiko Femenía,Villarreal,17,ESP,RB,33,90,0,0,0,0,0,0,1,0,71,0,1,0,0,0,0,2,0,55,62,"88,7",3,31,5,1,1,31/08/2024
Diego Conde,Villarreal,13,ESP,GK,25,90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,24,33,"72,7",0,19,0,0,0,31/08/2024
Isaac Romero,Sevilla,7,ESP,FW,24,90,0,0,0,0,5,1,1,0,29,1,0,1,0.3,0.3,0.1,2,0,10,15,"66,7",3,16,1,1,0,01/09/2024
Chidera Ejuke,Sevilla,21,NGA,"LW,AM",26,90,0,0,0,0,2,1,0,0,69,1,0,3,0.1,0.1,0.1,6,0,42,52,"80,8",4,47,8,9,4,01/09/2024
Dodi Lukebakio,Sevilla,11,BEL,"RW,WB",26,64,0,0,0,0,3,2,0,0,16,0,0,0,0.2,0.2,0,3,0,7,8,"87,5",3,12,3,5,3,01/09/2024
Jesús Navas,Sevilla,16,ESP,"WB,RB",38,26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,10,"80,0",1,7,1,0,0,01/09/2024
Juanlu Sánchez,Sevilla,26,ESP,AM,21,64,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,11,17,"64,7",3,10,0,1,0,01/09/2024
Peque,Sevilla,14,ESP,AM,21,26,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0,1,0,8,9,"88,9",2,5,0,0,0,01/09/2024
Albert Sambi Lokonga,Sevilla,12,BEL,"DM,CM",24,90,0,0,0,0,1,1,1,0,61,2,0,3,0,0,0,1,0,52,54,"96,3",4,35,3,1,0,01/09/2024
Lucien Agoume,Sevilla,18,FRA,"DM,CM",22,81,0,0,0,0,0,0,0,0,54,0,0,2,0,0,0.1,2,0,44,48,"91,7",0,30,0,1,0,01/09/2024
Djibril Sow,Sevilla,20,SUI,DM,27,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,6,7,"85,7",1,5,0,0,0,01/09/2024
Valentín Barco,Sevilla,19,ARG,"LB,WB",20,90,0,0,0,0,3,0,0,0,82,6,1,0,0.1,0.1,0.3,8,0,51,66,"77,3",4,34,1,7,1,01/09/2024
Marcão,Sevilla,23,BRA,CB,28,90,0,0,0,0,0,0,0,0,75,1,1,1,0,0,0,0,0,58,68,"85,3",3,53,0,0,0,01/09/2024
Loïc Bade,Sevilla,22,FRA,CB,24,90,0,0,0,0,1,0,1,0,69,2,1,0,0.1,0.1,0,1,0,51,61,"83,6",0,42,0,2,2,01/09/2024
Carmona,Sevilla,32,ESP,"RB,CB",22,81,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,1,0,33,40,"82,5",1,25,0,0,0,01/09/2024
Stanis Idumbo,Sevilla,27,BEL,RW,19,9,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,3,4,"75,0",0,5,1,0,0,01/09/2024
Ørjan Nyland,Sevilla,13,NOR,GK,33,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,17,"64,7",0,10,0,0,0,01/09/2024
Umar Sadiq,Real Sociedad,19,NGA,FW,27,65,0,0,0,0,1,0,0,0,21,1,0,1,0,0,0,0,0,5,13,"38,5",2,8,1,1,1,01/09/2024
Orri Steinn Óskarsson,Real Sociedad,9,ISL,FW,20,25,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,10,"20,0",0,4,0,0,0,01/09/2024
Brais Méndez,Real Sociedad,23,ESP,FW,27,27,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,5,6,"83,3",0,2,0,1,0,01/09/2024
Ander Barrenetxea,Real Sociedad,7,ESP,LM,22,63,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,6,10,"60,0",2,10,1,2,1,01/09/2024
Sergio Gómez,Real Sociedad,17,ESP,"FW,LM",23,90,0,0,0,0,0,0,0,0,35,5,3,1,0,0,0,0,0,14,26,"53,8",1,13,1,0,0,01/09/2024
Beñat Turrientes,Real Sociedad,22,ESP,CM,22,90,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,16,24,"66,7",0,8,0,3,1,01/09/2024
Martín Zubimendi,Real Sociedad,4,ESP,CM,25,90,0,0,0,0,0,0,0,0,49,0,2,3,0,0,0,0,0,28,36,"77,8",4,15,0,0,0,01/09/2024
Takefusa Kubo,Real Sociedad,14,JPN,RM,23,59,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,7,12,"58,3",2,10,0,4,1,01/09/2024
Sheraldo Becker,Real Sociedad,11,SUR,RM,29,31,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,4,"50,0",0,3,1,0,0,01/09/2024
Jon Aramburu,Real Sociedad,27,VEN,LB,22,58,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,13,25,"52,0",2,10,0,1,0,01/09/2024
Javi López,Real Sociedad,12,ESP,LB,22,32,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,5,13,"38,5",0,3,0,2,0,01/09/2024
Jon Pacheco,Real Sociedad,20,ESP,CB,23,90,0,0,0,0,0,0,0,0,60,2,1,3,0,0,0,0,0,33,42,"78,6",2,19,0,0,0,01/09/2024
Igor Zubeldia,Real Sociedad,5,ESP,CB,27,45,0,0,0,0,0,0,0,0,43,1,0,1,0,0,0,0,0,29,37,"78,4",1,27,0,0,0,01/09/2024
Jon Martin,Real Sociedad,31,ESP,CB,18,45,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,7,14,"50,0",1,3,0,0,0,01/09/2024
Hamari Traoré,Real Sociedad,18,MLI,RB,32,65,0,0,0,0,0,0,0,0,43,6,1,0,0,0,0,0,0,23,33,"69,7",2,11,0,0,0,01/09/2024
Aihen Muñoz,Real Sociedad,3,ESP,RB,27,25,0,0,0,0,0,0,1,0,12,1,0,0,0,0,0,0,0,1,5,"20,0",1,0,0,0,0,01/09/2024
Álex Remiro,Real Sociedad,1,ESP,GK,29,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,31,49,"63,3",0,20,0,0,0,01/09/2024
Kylian Mbappé,Real Madrid,9,FRA,FW,25,83,2,0,1,1,8,2,0,0,46,0,0,0,1.7,0.9,0,2,0,22,27,"81,5",5,32,4,4,2,01/09/2024
Luka Modrić,Real Madrid,10,CRO,RM,38,7,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,23,26,"88,5",2,15,1,1,1,01/09/2024
Vinicius Júnior,Real Madrid,7,BRA,LW,24,90,0,0,0,0,2,0,1,0,56,0,0,0,0.1,0.1,0.2,7,1,35,44,"79,5",5,42,13,8,2,01/09/2024
Rodrygo,Real Madrid,11,BRA,"RW,FW",23,88,0,0,0,0,2,1,0,0,56,2,0,1,0,0,0.3,8,1,41,47,"87,2",5,34,4,6,3,01/09/2024
Endrick,Real Madrid,16,BRA,FW,18,2,0,0,0,0,2,1,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,,0,1,0,0,0,01/09/2024
Dani Ceballos,Real Madrid,19,ESP,LM,28,64,0,0,0,0,0,0,0,0,61,4,0,1,0,0,0,6,0,45,53,"84,9",8,33,1,0,0,01/09/2024
Brahim Díaz,Real Madrid,21,MAR,"RM,RW",25,26,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0.2,3,1,11,13,"84,6",2,13,1,5,4,01/09/2024
Aurélien Tchouaméni,Real Madrid,14,FRA,CM,24,90,0,0,0,0,1,0,0,0,86,4,4,3,0.1,0.1,0,3,0,66,71,"93,0",8,43,0,1,1,01/09/2024
Federico Valverde,Real Madrid,8,URU,"RM,LM",26,90,0,1,0,0,2,1,0,0,73,2,0,1,0.1,0.1,0.7,3,1,56,65,"86,2",7,51,5,2,1,01/09/2024
Ferland Mendy,Real Madrid,23,FRA,LB,29,64,0,0,0,0,0,0,0,0,52,3,1,1,0,0,0,1,0,43,47,"91,5",5,28,1,1,1,01/09/2024
Fran Garcia,Real Madrid,20,ESP,LB,25,26,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12,12,"100,0",1,7,1,0,0,01/09/2024
Antonio Rüdiger,Real Madrid,22,GER,CB,31,90,0,0,0,0,1,0,0,0,84,1,1,2,0.1,0.1,0,0,0,67,74,"90,5",4,45,1,0,0,01/09/2024
Éder Militão,Real Madrid,3,BRA,CB,26,90,0,0,0,0,3,1,0,0,71,0,2,2,0.2,0.2,0,3,0,57,62,"91,9",3,38,0,0,0,01/09/2024
Dani Carvajal,Real Madrid,2,ESP,RB,32,90,0,0,0,0,0,0,1,0,87,1,1,1,0,0,0,2,0,67,79,"84,8",3,30,3,3,1,01/09/2024
Thibaut Courtois,Real Madrid,1,BEL,GK,32,90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,40,42,"95,2",0,26,0,0,0,01/09/2024
Aitor Ruibal,Real Betis,24,ESP,FW,28,56,0,0,0,0,1,0,0,0,17,0,1,0,0,0,0,1,0,10,13,"76,9",2,12,0,0,0,01/09/2024
Vitor Roque,Real Betis,8,BRA,FW,19,34,0,0,0,0,2,1,0,0,11,0,0,0,0.1,0.1,0.1,1,0,5,6,"83,3",0,6,1,2,0,01/09/2024
Abde Ezzalzouli,Real Betis,10,MAR,LW,22,82,0,0,0,0,3,0,0,0,43,6,1,1,0.3,0.3,0,1,0,21,27,"77,8",4,24,3,4,3,01/09/2024
Juanmi,Real Betis,7,ESP,LW,31,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,"60,0",0,3,0,0,0,01/09/2024
Rodri,Real Betis,17,ESP,RW,24,71,0,0,0,0,1,1,0,0,50,1,0,1,0,0,0.1,7,0,38,43,"88,4",5,32,1,1,0,01/09/2024
Assane Diao,Real Betis,38,ESP,RW,18,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,"66,7",0,3,0,0,0,01/09/2024
Pablo Fornals,Real Betis,18,ESP,AM,28,82,0,0,0,0,1,0,0,0,53,0,0,1,0.1,0.1,0,3,0,42,49,"85,7",8,39,2,1,0,01/09/2024
Iker Losada,Real Betis,19,ESP,AM,23,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,"75,0",2,4,0,1,0,01/09/2024
William Carvalho,Real Betis,14,POR,DM,32,56,0,0,0,0,0,0,0,0,46,0,0,3,0,0,0,1,0,34,42,"81,0",2,31,0,1,1,01/09/2024
Johnny Cardoso,Real Betis,4,USA,DM,22,34,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,1,0,23,26,"88,5",3,20,0,0,0,01/09/2024
Marc Roca,Real Betis,21,ESP,DM,27,90,0,0,0,0,1,0,0,0,64,5,1,5,0,0,0,2,0,44,47,"93,6",6,41,0,1,1,01/09/2024
Romain Perraud,Real Betis,15,FRA,LB,26,90,0,0,0,0,2,0,0,0,67,2,1,1,0.1,0.1,0.2,2,0,40,54,"74,1",3,40,3,1,1,01/09/2024
Natan,Real Betis,6,BRA,CB,23,90,0,0,0,0,0,0,0,0,29,1,1,1,0,0,0,0,0,19,22,"86,4",0,19,1,0,0,01/09/2024
Diego Llorente,Real Betis,3,ESP,CB,31,90,0,0,0,0,0,0,0,0,43,1,1,5,0,0,0,0,0,26,30,"86,7",1,25,0,0,0,01/09/2024
Youssouf Sabaly,Real Betis,23,SEN,RB,31,90,0,0,0,0,0,0,0,0,66,3,1,1,0,0,0.1,2,0,46,51,"90,2",2,42,4,4,2,01/09/2024
Rui Silva,Real Betis,1,POR,GK,30,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,17,27,"63,0",0,16,0,0,0,01/09/2024
Assane Diao,Real Betis,38,ESP,FW,19,90,0,0,0,0,2,0,0,0,19,1,0,0,0,0,0,0,0,9,10,"90,0",0,5,0,2,0,13/09/2024
Abde Ezzalzouli,Real Betis,10,MAR,LW,22,90,1,0,0,0,4,4,0,0,71,0,0,0,1.2,1.2,0,2,1,39,55,"70,9",6,40,9,4,1,13/09/2024
Ezequiel Ávila,Real Betis,9,ARG,RW,30,60,0,0,0,0,0,0,0,0,33,1,1,1,0,0,0,3,0,17,25,"68,0",4,13,1,1,0,13/09/2024
Giovani Lo Celso,Real Betis,20,ARG,AM,28,30,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0.1,4,0,22,28,"78,6",5,16,1,0,0,13/09/2024
Pablo Fornals,Real Betis,18,ESP,"AM,RW",28,86,0,0,0,0,1,0,0,0,69,4,1,0,0,0,0.3,5,1,46,63,"73,0",12,30,0,2,1,13/09/2024
Aitor Ruibal,Real Betis,24,ESP,RW,28,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,"83,3",0,3,0,1,1,13/09/2024
William Carvalho,Real Betis,14,POR,DM,32,25,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,15,"73,3",4,9,0,0,0,13/09/2024
Sergi Altimira,Real Betis,16,ESP,DM,23,65,0,0,0,0,2,0,0,0,66,1,0,3,0.1,0.1,0,1,0,48,53,"90,6",7,34,3,2,2,13/09/2024
Marc Roca,Real Betis,21,ESP,DM,27,90,0,0,0,0,1,0,0,0,85,0,1,2,0,0,0,1,0,72,77,"93,5",10,49,3,0,0,13/09/2024
Romain Perraud,Real Betis,15,FRA,LB,26,90,0,0,0,0,1,0,0,0,96,1,0,0,0,0,0,2,0,77,89,"86,5",9,42,2,2,1,13/09/2024
Natan,Real Betis,6,BRA,CB,23,90,0,0,0,0,1,0,0,0,80,0,2,1,0,0,0,1,0,73,74,"98,6",9,54,2,0,0,13/09/2024
Diego Llorente,Real Betis,3,ESP,CB,31,90,0,0,0,0,0,0,0,0,85,1,1,0,0,0,0,0,0,71,80,"88,8",5,42,0,0,0,13/09/2024
Youssouf Sabaly,Real Betis,23,SEN,RB,31,61,0,0,0,0,1,0,0,0,41,0,0,1,0,0,0,1,0,32,36,"88,9",6,14,1,2,1,13/09/2024
Héctor Bellerín,Real Betis,2,ESP,RB,29,29,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0.9,2,1,11,16,"68,8",0,6,0,0,0,13/09/2024
Rui Silva,Real Betis,1,POR,GK,30,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,23,29,"79,3",0,15,0,0,0,13/09/2024
Thierno Barry,Villarreal,15,FRA,FW,21,90,0,0,0,0,5,1,1,0,32,0,0,0,0.3,0.3,0,2,0,10,17,"58,8",1,24,1,0,0,14/09/2024
Ayoze Pérez,Villarreal,22,ESP,FW,31,90,1,0,0,0,4,1,0,0,35,0,0,0,0.7,0.7,0.3,6,0,18,22,"81,8",3,28,5,3,2,14/09/2024
Alex Baena,Villarreal,16,ESP,"LM,CM",23,90,0,1,0,0,5,1,0,0,69,1,1,2,0.2,0.2,0.4,8,2,43,55,"78,2",8,46,7,1,0,14/09/2024
Daniel Parejo,Villarreal,10,ESP,CM,35,73,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.1,3,1,36,45,"80,0",4,31,0,0,0,14/09/2024
Nicolas Pépé,Villarreal,19,CIV,RM,29,17,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,1,0,11,13,"84,6",2,11,1,1,0,14/09/2024
Santi Comesaña,Villarreal,14,ESP,CM,27,84,0,0,0,0,1,0,1,0,54,3,1,0,0,0,0.3,8,0,34,43,"79,1",6,35,5,0,0,14/09/2024
Ramón Terrats,Villarreal,20,ESP,CM,23,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,6,"66,7",0,5,0,0,0,14/09/2024
